Channel 1,Channel 2,Channel 3,Channel 4,Class
-735.3515625,-812.98828125,149.4140625,873.046875,0
837.40234375,170.8984375,-45.41015625,-670.8984375,0
-956.54296875,839.35546875,-247.55859375,-1000.0,0
-413.57421875,-121.58203125,-117.1875,249.51171875,0
-1000.0,-816.40625,210.44921875,-766.11328125,0
113.76953125,-111.81640625,96.19140625,27.34375,0
-747.0703125,769.04296875,-272.94921875,-1000.0,0
159.1796875,339.35546875,-110.3515625,-190.4296875,0
-1000.0,-639.6484375,305.6640625,-778.3203125,0
-223.6328125,-730.46875,117.67578125,265.625,0
-777.34375,538.0859375,-209.9609375,-1000.0,0
269.53125,672.36328125,-186.03515625,-335.9375,0
-1000.0,-663.0859375,-5.37109375,-820.3125,0
-392.08984375,-521.484375,90.8203125,510.25390625,0
-851.5625,426.26953125,-71.2890625,-1000.0,0
636.71875,753.90625,-164.0625,-752.9296875,0
-963.8671875,-135.25390625,75.1953125,778.80859375,0
-868.65234375,-705.078125,274.90234375,-943.359375,0
646.97265625,220.703125,100.09765625,-386.71875,0
-835.44921875,-903.80859375,-84.9609375,-1000.0,0
-205.078125,73.73046875,-113.28125,106.4453125,0
-1000.0,-934.5703125,141.6015625,-753.90625,0
5.37109375,144.53125,328.61328125,148.92578125,0
-748.046875,-880.37109375,-26.85546875,-1000.0,0
232.91015625,350.09765625,-109.375,-222.65625,0
-1000.0,-685.546875,215.8203125,-779.78515625,0
-235.3515625,-269.53125,231.4453125,279.296875,0
-775.87890625,622.0703125,-155.2734375,-1000.0,0
331.0546875,573.2421875,-223.6328125,-439.94140625,0
-1000.0,-498.046875,30.76171875,-872.0703125,0
-507.8125,-835.9375,105.95703125,598.6328125,0
-922.36328125,295.8984375,-92.28515625,-940.91796875,0
756.34765625,438.96484375,-427.734375,-975.09765625,0
-813.4765625,-601.07421875,-221.6796875,492.67578125,0
-1000.0,-668.45703125,231.93359375,-877.44140625,0
421.38671875,171.38671875,55.6640625,-281.25,0
-791.50390625,680.17578125,-294.43359375,-1000.0,0
-95.703125,117.1875,-41.015625,-101.5625,0
-1000.0,-223.14453125,460.44921875,-783.203125,0
-154.78515625,261.23046875,404.78515625,175.29296875,0
-775.390625,963.8671875,46.875,-1000.0,0
258.7890625,390.625,-4.39453125,-231.93359375,0
-1000.0,-520.99609375,263.18359375,-786.62109375,0
-237.79296875,-537.109375,189.453125,330.56640625,0
-779.296875,262.6953125,-174.31640625,-1000.0,0
431.640625,742.1875,-132.8125,-565.4296875,0
-1000.0,-375.9765625,95.703125,-984.86328125,0
-600.5859375,-855.46875,238.28125,816.40625,0
988.28125,360.83984375,41.9921875,-734.86328125,0
931.640625,858.3984375,-243.1640625,-1000.0,0
-570.80078125,-211.42578125,-100.5859375,381.8359375,0
-1000.0,-889.16015625,226.07421875,-779.78515625,0
240.72265625,98.14453125,184.08203125,-46.38671875,0
-755.859375,-997.0703125,-183.59375,-1000.0,0
48.33984375,65.4296875,-154.78515625,-114.2578125,0
-1000.0,-997.55859375,90.33203125,-763.671875,0
-202.63671875,-291.50390625,111.81640625,254.39453125,0
-777.83203125,856.93359375,-103.515625,-1000.0,0
265.13671875,413.0859375,-248.046875,-271.97265625,0
-1000.0,-814.453125,19.53125,-793.45703125,0
-292.48046875,-453.61328125,236.328125,510.7421875,0
-803.7109375,657.2265625,10.7421875,-1000.0,0
538.0859375,684.5703125,-217.28515625,-614.2578125,0
-1000.0,-347.65625,26.3671875,942.87109375,0
-748.046875,-525.87890625,370.1171875,981.93359375,0
821.2890625,521.484375,193.84765625,-481.93359375,0
-946.2890625,732.91015625,-244.62890625,-1000.0,0
-402.34375,-299.8046875,-112.3046875,215.8203125,0
-1000.0,-640.625,440.4296875,-752.9296875,0
118.65234375,97.65625,249.51171875,94.7265625,0
-743.1640625,593.26171875,-270.99609375,-1000.0,0
190.91796875,12.6953125,-221.6796875,-153.80859375,0
