Channel 1,Channel 2,Channel 3,Channel 4,Class
36.62109375,-968.26171875,294.921875,-16.6015625,0
15.13671875,-968.26171875,266.11328125,-19.53125,0
13.671875,-968.26171875,244.62890625,-25.87890625,0
15.625,-968.26171875,221.19140625,-17.578125,0
13.18359375,-968.26171875,197.265625,-14.16015625,0
16.11328125,-968.26171875,171.38671875,-1.46484375,0
34.66796875,-968.26171875,151.3671875,8.7890625,0
28.3203125,-968.26171875,142.578125,-1.46484375,0
35.15625,-968.26171875,125.48828125,18.06640625,0
36.1328125,-968.26171875,106.4453125,37.59765625,0
40.0390625,-967.28515625,89.84375,44.921875,0
81.54296875,-967.7734375,75.1953125,72.75390625,0
87.40234375,-967.28515625,52.24609375,70.3125,0
72.265625,-925.78125,36.1328125,64.94140625,0
73.2421875,-871.58203125,29.296875,78.61328125,0
84.9609375,-834.9609375,14.6484375,90.8203125,0
101.5625,-798.33984375,3.90625,104.98046875,0
93.75,-769.04296875,-10.7421875,115.72265625,0
86.9140625,-737.3046875,-24.90234375,111.81640625,0
83.49609375,-703.125,-37.109375,93.26171875,0
94.7265625,-674.8046875,-54.6875,97.65625,0
99.609375,-644.04296875,-67.87109375,111.328125,0
69.82421875,-614.74609375,-73.2421875,96.19140625,0
74.21875,-585.44921875,-77.1484375,88.8671875,0
109.375,-558.59375,-78.61328125,100.09765625,0
98.6328125,-530.2734375,-80.078125,84.9609375,0
73.2421875,-500.48828125,-88.37890625,66.89453125,0
78.125,-474.12109375,-105.46875,64.453125,0
95.703125,-447.75390625,-105.95703125,70.80078125,0
84.47265625,-428.22265625,-95.21484375,78.61328125,0
64.453125,-408.203125,-91.30859375,70.80078125,0
74.70703125,-381.8359375,-91.796875,59.5703125,0
91.30859375,-362.3046875,-102.05078125,61.03515625,0
100.5859375,-339.35546875,-111.328125,71.77734375,0
92.7734375,-315.4296875,-116.69921875,70.80078125,0
69.3359375,-300.29296875,-115.72265625,59.5703125,0
86.42578125,-286.1328125,-107.91015625,74.70703125,0
122.55859375,-270.5078125,-98.14453125,100.09765625,0
115.72265625,-251.46484375,-96.19140625,104.98046875,0
114.74609375,-230.46875,-99.12109375,102.5390625,0
131.34765625,-214.84375,-95.21484375,108.88671875,0
151.3671875,-201.66015625,-94.7265625,138.18359375,0
143.5546875,-183.59375,-98.14453125,140.13671875,0
116.2109375,-172.36328125,-96.6796875,117.1875,0
109.375,-166.015625,-91.796875,123.046875,0
126.46484375,-153.3203125,-87.890625,145.01953125,0
134.765625,-138.18359375,-94.23828125,155.2734375,0
127.9296875,-127.9296875,-104.4921875,144.53125,0
118.1640625,-120.60546875,-94.7265625,122.55859375,0
122.0703125,-110.3515625,-82.03125,118.1640625,0
125.48828125,-95.21484375,-79.1015625,124.51171875,0
109.86328125,-84.9609375,-72.265625,128.41796875,0
102.05078125,-79.1015625,-61.5234375,119.62890625,0
113.76953125,-66.40625,-60.546875,111.81640625,0
112.3046875,-55.6640625,-62.01171875,105.95703125,0
80.56640625,-47.36328125,-57.6171875,100.5859375,0
66.40625,-36.1328125,-61.5234375,97.65625,0
66.89453125,-26.85546875,-62.98828125,89.35546875,0
65.91796875,-18.06640625,-54.19921875,86.9140625,0
54.6875,-15.13671875,-47.36328125,79.58984375,0
29.296875,-7.8125,-46.38671875,65.4296875,0
20.99609375,-1.46484375,-44.921875,47.8515625,0
29.296875,-0.48828125,-41.50390625,37.109375,0
42.96875,3.41796875,-39.55078125,53.22265625,0
25.390625,5.37109375,-35.64453125,53.22265625,0
10.7421875,12.20703125,-33.203125,31.25,0
20.99609375,12.20703125,-36.62109375,21.97265625,0
19.53125,12.20703125,-38.57421875,23.4375,0
6.34765625,18.06640625,-36.1328125,11.71875,0
8.7890625,20.99609375,-36.1328125,6.8359375,0
25.87890625,28.80859375,-35.15625,1.953125,0
31.73828125,34.1796875,-33.203125,-8.7890625,0
-3.90625,33.203125,-28.80859375,-9.765625,0
-30.2734375,33.203125,-23.92578125,-4.39453125,0
-10.7421875,33.203125,-20.01953125,5.859375,0
-10.25390625,34.1796875,-12.6953125,-16.11328125,0
-47.36328125,39.55078125,-18.5546875,-53.7109375,0
-84.47265625,38.57421875,-25.87890625,-67.3828125,0
-110.83984375,36.62109375,-23.4375,-82.03125,0
-115.72265625,34.1796875,-23.4375,-103.515625,0
-116.2109375,30.76171875,-22.94921875,-120.1171875,0
-146.97265625,32.71484375,-19.53125,-137.6953125,0
-168.45703125,32.71484375,-21.484375,-157.71484375,0
-164.0625,29.78515625,-21.484375,-163.57421875,0
-168.45703125,31.73828125,-23.4375,-150.87890625,0
-188.4765625,36.62109375,-27.83203125,-160.15625,0
-207.03125,37.59765625,-26.85546875,-178.22265625,0
-210.44921875,33.203125,-15.13671875,-172.8515625,0
-195.3125,29.78515625,-17.08984375,-167.96875,0
-201.171875,35.15625,-26.3671875,-166.50390625,0
-233.3984375,35.64453125,-12.6953125,-176.26953125,0
-239.74609375,31.73828125,-4.39453125,-195.3125,0
-225.5859375,32.71484375,-8.30078125,-189.453125,0
-221.19140625,36.62109375,-7.8125,-187.98828125,0
-236.81640625,40.52734375,-10.25390625,-195.3125,0
-261.23046875,37.59765625,-8.30078125,-192.87109375,0
-250.48828125,36.1328125,-3.90625,-187.5,0
-238.76953125,36.1328125,-6.34765625,-173.33984375,0
-244.62890625,33.69140625,-5.37109375,-153.80859375,0
-245.1171875,35.64453125,-1.46484375,-154.296875,0
-234.375,35.15625,-0.9765625,-161.62109375,0
-214.35546875,35.64453125,-2.44140625,-137.20703125,0
-192.3828125,39.0625,-5.859375,-119.140625,0
-191.40625,38.57421875,-17.578125,-119.140625,0
-187.01171875,37.109375,-17.578125,-98.6328125,0
-141.6015625,38.0859375,-1.46484375,-59.5703125,0
-127.44140625,35.64453125,1.953125,-37.109375,0
-134.765625,27.83203125,-3.41796875,-22.4609375,0
-121.58203125,25.87890625,-4.39453125,-3.41796875,0
-83.0078125,27.83203125,-0.9765625,18.06640625,0
-57.6171875,28.80859375,3.90625,39.0625,0
-55.6640625,30.76171875,2.44140625,61.03515625,0
-37.109375,30.76171875,-1.46484375,75.1953125,0
-8.7890625,32.71484375,-5.859375,100.09765625,0
3.90625,31.73828125,-5.37109375,120.60546875,0
-1.953125,29.78515625,1.46484375,118.65234375,0
-4.8828125,27.83203125,3.41796875,117.1875,0
13.671875,26.85546875,5.859375,121.09375,0
22.94921875,29.78515625,2.44140625,138.18359375,0
28.80859375,33.69140625,-3.90625,158.203125,0
35.15625,36.1328125,3.41796875,153.3203125,0
17.08984375,38.0859375,11.23046875,150.87890625,0
31.25,40.0390625,-7.32421875,158.203125,0
34.66796875,33.203125,-19.53125,148.4375,0
13.671875,21.97265625,2.44140625,131.8359375,0
4.39453125,28.3203125,10.25390625,120.1171875,0
6.8359375,35.15625,8.30078125,115.234375,0
5.37109375,29.296875,6.8359375,97.16796875,0
-28.80859375,26.85546875,0.9765625,67.87109375,0
-45.8984375,25.87890625,9.765625,58.10546875,0
-36.62109375,30.76171875,11.23046875,58.10546875,0
-14.16015625,25.87890625,12.6953125,81.54296875,0
-2.44140625,27.34375,16.11328125,106.93359375,0
-26.85546875,52.24609375,4.39453125,65.4296875,0
-62.5,54.6875,2.44140625,27.34375,0
-66.89453125,44.921875,7.8125,41.50390625,0
-56.15234375,48.33984375,8.7890625,41.015625,0
-58.59375,50.78125,6.8359375,30.2734375,0
-53.7109375,54.6875,1.46484375,29.296875,0
-43.45703125,60.546875,-2.9296875,30.76171875,0
-41.015625,62.5,-5.37109375,34.1796875,0
-62.98828125,66.40625,-7.32421875,24.90234375,0
-64.453125,70.3125,-15.13671875,12.6953125,0
-20.01953125,73.73046875,-21.484375,20.5078125,0
-17.578125,69.82421875,-18.06640625,36.1328125,0
-32.2265625,70.3125,-20.5078125,25.87890625,0
-42.48046875,69.3359375,-22.94921875,19.04296875,0
-32.71484375,63.4765625,-15.625,43.9453125,0
31.73828125,64.453125,-16.11328125,64.453125,0
22.4609375,63.96484375,-15.13671875,72.75390625,0
7.32421875,60.05859375,-10.7421875,80.56640625,0
39.0625,60.05859375,-15.13671875,76.171875,0
40.52734375,57.6171875,-11.71875,90.33203125,0
42.48046875,53.22265625,-7.8125,96.6796875,0
50.78125,51.7578125,-4.8828125,105.46875,0
63.96484375,47.36328125,-3.90625,111.328125,0
89.84375,43.9453125,-1.953125,117.67578125,0
99.12109375,40.0390625,2.44140625,148.92578125,0
96.19140625,39.55078125,6.8359375,155.2734375,0
96.6796875,37.59765625,1.953125,145.5078125,0
118.1640625,31.25,1.953125,155.76171875,0
134.765625,28.80859375,6.8359375,168.9453125,0
130.37109375,25.87890625,7.32421875,169.921875,0
119.140625,24.90234375,7.32421875,150.390625,0
124.51171875,21.97265625,8.7890625,153.3203125,0
140.625,18.06640625,14.6484375,161.62109375,0
151.85546875,22.4609375,13.671875,154.78515625,0
145.01953125,21.97265625,10.7421875,153.3203125,0
124.51171875,17.578125,6.8359375,144.53125,0
125.48828125,17.578125,6.8359375,144.04296875,0
135.25390625,17.578125,9.765625,144.04296875,0
125.48828125,15.13671875,9.765625,138.18359375,0
104.98046875,13.671875,5.859375,125.0,0
105.95703125,11.23046875,4.8828125,127.44140625,0
114.74609375,12.20703125,7.32421875,130.859375,0
102.5390625,12.20703125,6.8359375,122.55859375,0
81.54296875,11.23046875,6.34765625,109.375,0
91.796875,13.671875,5.37109375,105.95703125,0
119.140625,12.20703125,4.39453125,123.046875,0
108.3984375,12.20703125,3.90625,131.34765625,0
87.40234375,16.11328125,4.8828125,115.72265625,0
100.5859375,20.99609375,8.7890625,115.72265625,0
113.76953125,20.01953125,4.39453125,125.0,0
115.234375,16.6015625,2.44140625,126.953125,0
105.46875,21.484375,4.8828125,125.48828125,0
109.86328125,24.90234375,5.37109375,125.48828125,0
124.51171875,23.92578125,5.859375,131.34765625,0
127.9296875,19.04296875,2.9296875,129.39453125,0
116.2109375,19.04296875,2.9296875,137.20703125,0
103.515625,22.94921875,1.953125,128.41796875,0
111.81640625,20.5078125,1.46484375,125.48828125,0
125.0,21.97265625,5.37109375,133.30078125,0
125.9765625,27.83203125,1.46484375,131.8359375,0
121.09375,30.2734375,1.46484375,128.41796875,0
120.1171875,25.390625,13.671875,131.8359375,0
119.140625,24.4140625,17.08984375,133.7890625,0
115.234375,22.4609375,13.671875,128.41796875,0
106.93359375,23.4375,12.6953125,121.58203125,0
99.12109375,25.390625,11.23046875,111.328125,0
115.234375,25.87890625,6.8359375,107.91015625,0
110.3515625,28.80859375,5.859375,95.703125,0
79.1015625,25.390625,2.44140625,71.2890625,0
80.56640625,28.80859375,2.44140625,67.87109375,0
