Channel 1,Channel 2,Channel 3,Channel 4,Classification
-782.71484375,-434.5703125,-1000.0,-1000.0,0
271.97265625,-848.14453125,-556.640625,-337.890625,0
-1000.0,398.4375,-987.79296875,-814.453125,0
-436.03515625,-895.99609375,900.390625,474.12109375,0
-860.3515625,-36.62109375,-618.65234375,-1000.0,0
567.3828125,-1000.0,-1000.0,-765.13671875,0
-987.3046875,-0.9765625,345.21484375,827.63671875,0
-936.03515625,-903.3203125,-764.6484375,958.984375,0
547.36328125,366.69921875,33.203125,-551.7578125,0
-866.2109375,-999.51171875,-1000.0,-1000.0,0
-282.2265625,-402.83203125,-157.71484375,86.42578125,0
-1000.0,889.16015625,-766.6015625,-763.18359375,0
-85.44921875,696.77734375,257.8125,84.47265625,0
-768.5546875,-720.703125,-1000.0,-1000.0,0
251.46484375,-674.8046875,-279.78515625,-212.890625,0
-1000.0,647.4609375,-800.29296875,-785.15625,0
-230.46875,979.00390625,533.69140625,272.94921875,0
-777.34375,-320.80078125,-1000.0,-1000.0,0
271.484375,-867.1875,-665.0390625,-436.03515625,0
-1000.0,325.68359375,903.3203125,-860.3515625,0
-528.80859375,-889.6484375,-981.93359375,568.84765625,0
-916.9921875,42.48046875,-435.546875,-990.234375,0
663.57421875,-1000.0,-1000.0,-927.734375,0
-914.0625,-66.40625,193.359375,578.125,0
-1000.0,-951.66015625,-749.51171875,-896.97265625,0
398.92578125,427.734375,125.9765625,-343.26171875,0
-808.10546875,-963.8671875,-1000.0,-1000.0,0
-167.96875,-447.265625,-208.49609375,-48.33984375,0
-1000.0,858.88671875,-773.4375,-766.6015625,0
-156.25,756.34765625,283.69140625,215.8203125,0
-781.73828125,-641.11328125,-1000.0,-1000.0,0
260.7421875,-729.98046875,-354.98046875,-226.5625,0
-1000.0,594.23828125,-841.30859375,-779.78515625,0
-235.3515625,-1000.0,634.27734375,271.97265625,0
-777.83203125,-286.1328125,-954.1015625,-1000.0,0
370.60546875,-924.8046875,-821.77734375,-528.80859375,0
-1000.0,231.4453125,710.9375,-916.015625,0
-624.51171875,-880.37109375,-874.0234375,660.64453125,0
-993.65234375,130.859375,-257.32421875,-907.2265625,0
805.17578125,-1000.0,-1000.0,-1000.0,0
-741.69921875,-166.015625,52.24609375,356.93359375,0
-1000.0,-971.19140625,-747.0703125,-801.7578125,0
219.7265625,503.90625,202.63671875,-146.484375,0
-773.4375,-927.24609375,-1000.0,-1000.0,0
-39.0625,-519.04296875,-231.93359375,-177.24609375,0
-1000.0,829.58984375,-775.87890625,-785.64453125,0
-201.171875,801.7578125,337.40234375,263.18359375,0
-788.57421875,-598.6328125,-1000.0,-1000.0,0
270.99609375,-752.9296875,-446.77734375,-234.86328125,0
